Country	Coal	Oil	Gas	Gas flaring	Cement	MtCO2	Population	GDP	MtCO2perGDP	MtCO2perPop	CoalperGDP	OilperGDP	GasperGDP	GFperGDP	CementperGDP
South Korea	308.8649	168.5274	98.2342	0.0	23.7949	599.4214	50074401.0	1487857.139	0.402875641947	11.9706154847	0.207590427807	0.113268536059	0.0660239464026	0.0	0.0159927316785
Thailand	71.572	157.4213	87.2931	0.0	20.9713	337.2577	67725979.0	838726.3702	0.402106946893	4.97973901566	0.0853341477542	0.187690891324	0.104078163155	0.0	0.0250037446599
Macedonia (Republic of)	5.1593	2.6503	0.22351	0.0	0.33928	8.37239	2075625.0	20912.5098	0.400353189554	4.03367178561	0.246708790544	0.126732755912	0.0106878611002	0.0	0.0162237819967
Brunei Darussalam	0.0	1.9922	7.3231	0.49098	0.1175	9.92378	417394.0	24965.7076	0.397496444283	23.7755693661	0.0	0.0797974578537	0.293326354587	0.019666176015	0.00470645582663
Malaysia	66.4049	82.0415	76.3533	16.8068	9.959	251.5655	29901997.0	633455.48	0.397132092061	8.41299997455	0.104829624333	0.129514232003	0.120534595423	0.0265319355987	0.0157217047045
Belarus	3.6453	13.8086	37.9848	0.0020109	2.1835	57.6242109	9500422.0	146045.147	0.394564366456	6.06543697743	0.0249600899097	0.0945502146675	0.26008943659	1.37690299288e-05	0.0149508562582
United Arab Emirates	6.5116	50.478	131.3254	1.8906	8.0005	198.2061	9086139.0	510644.2176	0.388149112765	21.8141170854	0.012751735505	0.0988516040331	0.257175926944	0.00370238207903	0.0156674642036
Kyrgyzstan	2.262	2.978	0.56364	0.0	0.33355	6.13719	5843617.0	16293.4133	0.37666693203	1.0502382343	0.138829105869	0.182773243713	0.0345931199082	0.0	0.0204714625388
Cyprus	0.0011387	6.5557	0.0043908	0.0	0.50454	7.0657695	1153658.0	18945.8023	0.372946438906	6.12466562881	6.01030234544e-05	0.346023878862	0.000231755822766	0.0	0.0266307011976
United States of America	1730.6229	2280.2022	1451.876	13.0968	38.9645	5514.7624	319448634.0	14794170.9227	0.37276589738	17.2633776233	0.116980053093	0.154128420708	0.0981383821767	0.000885267587378	0.00263377381562
Qatar		18.7181	77.7081	1.0736	2.1925	99.6923	2172065.0	268825.0328	0.370844556259	45.8974754439		0.0696293042543	0.289065713824	0.00399367569611	0.00815586248484
Jordan	0.0	18.6678	2.2071	0.0	2.4417	23.3166	7416083.0	67705.9981	0.344380123687	3.14405866277	0.0	0.275718555577	0.0325982935329	0.0	0.0360632745771
Montenegro	1.481	0.85992	0.0	0.0	0.0	2.34092	625292.0	6906.4711	0.338945890905	3.74372293265	0.214436573839	0.124509317066	0.0	0.0	0.0
Turkey	146.2262	89.5806	96.8241	0.10119	35.6075	368.33959	77523788.0	1088809.4237	0.338295740267	4.75131052678	0.134299168263	0.0822739021633	0.0889265815417	9.29363741693e-05	0.0327031519244
Greece	34.4415	32.6379	5.49	0.0082762	3.0993	75.6769762	11000777.0	227102.8117	0.333227825906	6.87923918465	0.151655982338	0.143714204838	0.0241740732266	3.64425254714e-05	0.0136471229784
Benin	0.0	5.2263	0.0	0.0	0.38023	5.60653	10598482.0	16824.9593	0.333226957643	0.528993680416	0.0	0.310627794505	0.0	0.0	0.0225991631374
Algeria	0.60207	53.3839	76.4121	6.9323	9.9661	147.29647	38934334.0	467732.5655	0.314916003	3.78320250707	0.00128720992381	0.114133382915	0.163367072631	0.0148210762118	0.0213072613179
Moldova	0.28843	2.1991	1.6942	0.0	0.51385	4.69558	4072340.0	15054.7265	0.311900717692	1.15304223125	0.0191587671819	0.146073726414	0.112536086258	0.0	0.0341321378372
Iraq	0.0	101.8917	12.6633	18.4885	3.9864	137.0299	35273293.0	440078.0838	0.311376333074	3.88480599189	0.0	0.231530957234	0.0287751207482	0.042011862623	0.00905839246885
Togo	0.0	1.3786	0.0	0.0	1.2268	2.6054	7115163.0	8426.4138	0.309194404861	0.366175729214	0.0	0.163604592976	0.0	0.0	0.145589811884
Bolivia	0.0	8.4248	8.3472	0.20152	1.3506	18.32412	10561887.0	59543.1133	0.307745413104	1.73492861645	0.0	0.141490754062	0.140187496713	0.00338443841498	0.0226827239146
Taiwan	144.5749	69.3203	37.7108	0.0	7.8766	259.4826	23361753.0	848878.7588	0.305676867645	11.1071545016	0.170312778475	0.0816610137565	0.0444242474076	0.0	0.009278828005
